#{"t_start": 1667874172.648705, "env_id": "ElectricityMarket-v0"}
r,l,t
-4683.841739,24,0.765476
-4784.427701,24,0.785927
-5932.876983,24,0.804696
-4423.618016,24,0.824259
-5062.055553,24,0.843554
-6222.13209,24,0.862216
-5904.679177,24,0.881257
-4537.921695,24,0.899871
-5214.606896,24,1.104112
-4773.207565,24,1.123072
-5181.099788,24,1.141322
-4793.730824,24,1.158194
-6109.587835,24,1.290882
-7048.254566,24,1.308707
-5600.331056,24,1.328458
-5262.196438,24,1.350554
-5251.603771,24,1.490059
-5236.862767,24,1.50905
-5385.604015,24,1.528774
-5143.21865,24,1.547459
-4565.523456,24,1.676309
-4310.41742,24,1.69369
-3859.284454,24,1.711103
-3147.095229,24,1.728224
-3125.350042,24,1.745962
-3923.790659,24,1.885695
-3475.01701,24,1.906097
-4567.715745,24,1.925735
-3630.277744,24,1.946013
-4657.812774,24,2.075605
-3449.377856,24,2.09302
-3906.681411,24,2.10976
-4682.881657,24,2.126833
-4180.550359,24,2.250086
-4206.442449,24,2.267654
-5669.137727,24,2.284721
-4555.949742,24,2.301228
-5264.030925,24,2.423379
-5312.330759,24,2.440312
-4446.861295,24,2.45635
-3646.410333,24,2.473686
-4353.710855,24,2.625801
-4708.802613,24,2.644592
-3006.685106,24,2.664507
-3350.186129,24,2.68574
-3446.776535,24,2.827221
-3116.191471,24,2.844632
-4836.583358,24,2.862849
-4002.129975,24,2.88153
-3611.192095,24,2.90106
-2023.449991,24,3.024417
-2313.767457,24,3.043205
-3507.414893,24,3.062807
-3041.659692,24,3.079934
-784.496245,24,3.206398
-1316.933425,24,3.223588
-748.373256,24,3.241235
-340.908847,24,3.258806
-392.011925,24,3.390253
-7.205773,24,3.411135
257.276999,24,3.429708
200.171415,24,3.448941
-357.411272,24,3.588444
181.421433,24,3.607517
91.290299,24,3.62665
-13.031103,24,3.645319
529.43484,24,3.782452
-534.631755,24,3.800986
109.503257,24,3.818196
-498.670102,24,3.834271
-1.947075,24,3.960024
717.176786,24,3.978143
70.308979,24,3.995801
-226.62746,24,4.013825
353.801613,24,4.036479
672.674055,24,4.185628
120.169576,24,4.210233
510.946999,24,4.227958
-661.287584,24,4.245257
-46.943373,24,4.375625
352.10897,24,4.392369
415.678225,24,4.409226
681.342745,24,4.426923
-302.410797,24,4.551875
281.070362,24,4.568974
118.714247,24,4.585492
-612.884345,24,4.601456
726.060169,24,4.730983
250.34565,24,4.751722
1747.078186,24,4.769853
834.745878,24,4.792667
2064.523884,24,4.929858
1575.804562,24,4.948938
2515.062779,24,4.965988
1493.978991,24,4.982942
948.826649,24,5.103366
2868.333226,24,5.119054
2266.652133,24,5.135066
3009.585646,24,5.150547
2076.245424,24,5.167156
1797.768522,24,5.28995
1971.495571,24,5.305427
2812.653759,24,5.321023
1916.742502,24,5.336501
2246.580407,24,5.456624
2003.8632,24,5.472402
1889.357601,24,5.488091
1645.092564,24,5.503662
1847.90909,24,5.622097
2250.132063,24,5.637621
2323.915961,24,5.6532
2366.93448,24,5.668753
2093.278295,24,5.784329
1969.469597,24,5.799934
2672.042825,24,5.81545
2516.637286,24,5.830904
1442.393042,24,5.949371
2229.001371,24,5.965065
2672.096268,24,5.980747
1519.512842,24,5.996173
1578.950179,24,6.114497
1696.114972,24,6.12985
1460.304924,24,6.14548
1051.649729,24,6.160963
1685.892009,24,6.176433
2163.720707,24,6.295747
2079.93571,24,6.311253
2074.621896,24,6.326759
1762.0358,24,6.342179
1043.449959,24,6.46009
1403.303342,24,6.475774
2405.712178,24,6.491241
1327.671275,24,6.506962
1433.79962,24,6.623563
2105.962168,24,6.639312
1354.611335,24,6.654876
1935.930361,24,6.67059
2691.758737,24,6.789985
2863.45024,24,6.805571
2332.512277,24,6.821066
2689.657914,24,6.836601
2560.239227,24,6.952812
3101.197561,24,6.968367
2359.054702,24,6.983875
2973.531111,24,6.99937
2323.767385,24,7.120405
2938.895553,24,7.136451
2528.867543,24,7.151889
2007.818806,24,7.167496
3102.610135,24,7.183028
3773.367748,24,7.301005
3519.997795,24,7.316611
3977.254468,24,7.332091
4070.988572,24,7.347569
3850.16692,24,7.482913
3716.458676,24,7.498489
3808.723557,24,7.51418
3572.438046,24,7.529727
3959.343712,24,7.652507
3075.947737,24,7.668066
3187.923847,24,7.683486
3319.57138,24,7.699052
3432.655992,24,7.820956
2919.33357,24,7.836659
3218.462711,24,7.852579
3622.277452,24,7.868489
3717.85537,24,7.990153
3468.59253,24,8.005731
3474.907068,24,8.021241
3393.019844,24,8.036853
2919.148173,24,8.162493
3506.329947,24,8.179049
2650.785023,24,8.195142
3365.647501,24,8.210632
3366.88705,24,8.226104
2810.581745,24,8.346222
3590.660999,24,8.361773
2879.069407,24,8.377474
3976.688647,24,8.393112
4038.574951,24,8.515814
3522.326591,24,8.531295
3111.875581,24,8.547004
3425.337733,24,8.563435
3271.746473,24,8.686635
3488.091769,24,8.702835
3824.254584,24,8.718304
3510.823974,24,8.733958
3872.858153,24,8.853087
4077.031183,24,8.869089
3482.611831,24,8.884652
3469.329357,24,8.900146
3588.253249,24,9.028359
3199.225523,24,9.044561
3614.905422,24,9.059901
2702.318084,24,9.075383
3241.589429,24,9.199004
3716.852747,24,9.217672
3019.121671,24,9.233913
2699.634825,24,9.24944
3332.333526,24,9.264996
3626.759114,24,9.388325
3716.56627,24,9.403848
2643.309752,24,9.419734
3432.777926,24,9.435302
2768.475598,24,9.558456
3406.346942,24,9.574061
4062.021829,24,9.589543
3271.280213,24,9.605118
3382.790414,24,9.730679
3580.847989,24,9.746455
3608.425924,24,9.762201
3580.908901,24,9.777729
3628.93778,24,9.900581
3480.258193,24,9.917
2812.7067,24,9.940618
2992.215977,24,9.956689
3649.702516,24,10.089175
3281.007799,24,10.104771
2919.154422,24,10.120361
3862.307198,24,10.142148
2970.729625,24,10.273026
3717.259286,24,10.288479
3327.31491,24,10.304
3780.455146,24,10.319485
4080.517247,24,10.335575
3939.053571,24,10.460966
3573.699647,24,10.476561
3938.595913,24,10.492102
3534.337218,24,10.507676
2458.265678,24,10.63504
3104.521819,24,10.651368
3693.500567,24,10.667217
4327.414997,24,10.682751
3100.283336,24,10.816131
3602.73263,24,10.831616
3811.385312,24,10.847201
3035.405376,24,10.862785
3668.884049,24,10.985834
3554.709689,24,11.001617
3612.245843,24,11.017798
3344.122207,24,11.033496
4158.298286,24,11.161383
3462.402012,24,11.176994
2689.459788,24,11.192522
3558.950748,24,11.208167
3109.646169,24,11.332162
3379.776791,24,11.347691
3387.773387,24,11.363155
3026.636904,24,11.393608
2415.178433,24,11.412206
4083.51877,24,11.550954
3844.79986,24,11.569636
3232.577667,24,11.608026
3430.456737,24,11.625226
3681.156095,24,11.748556
4094.912625,24,11.764323
4371.096553,24,11.779857
3724.960445,24,11.795265
3708.429101,24,11.916883
2826.059289,24,11.932317
3395.993224,24,11.948744
2721.140899,24,11.964464
3750.982523,24,12.089141
3170.044884,24,12.104849
2868.8888,24,12.120501
3174.432059,24,12.136078
3426.81341,24,12.262294
2999.160262,24,12.281824
3507.047173,24,12.298477
4022.908572,24,12.314114
3448.152862,24,12.435921
2523.517867,24,12.451416
3004.450317,24,12.467216
3314.031597,24,12.482953
4550.822583,24,12.498368
4307.818393,24,12.620378
4802.541946,24,12.636223
4324.019673,24,12.651855
4111.286927,24,12.667289
3836.202166,24,12.793491
4531.838564,24,12.809515
4677.230812,24,12.824879
4706.265674,24,12.840394
4032.582552,24,12.959638
4111.366123,24,12.975762
4071.256407,24,12.991964
4491.332528,24,13.007827
4274.72212,24,13.149993
4268.061602,24,13.165681
3494.373361,24,13.181706
4328.40661,24,13.19813
4820.355078,24,13.318919
3819.435609,24,13.334477
4792.011927,24,13.350051
4359.90399,24,13.365547
4151.511732,24,13.488064
4003.090118,24,13.504174
4441.986553,24,13.519826
3975.937229,24,13.536224
4704.3642,24,13.552673
3611.561689,24,13.677531
3745.321261,24,13.693134
4048.515775,24,13.708791
4128.837712,24,13.72432
4326.904299,24,13.846373
4043.685306,24,13.86192
3395.173429,24,13.877404
3460.087864,24,13.892914
3544.869041,24,14.01582
3220.425705,24,14.031372
4539.237573,24,14.046953
4373.784146,24,14.062415
4526.326565,24,14.182968
3868.485525,24,14.19967
3422.584111,24,14.216056
4280.419624,24,14.232398
3745.436329,24,14.358468
3793.771946,24,14.373981
3418.020301,24,14.389728
4348.518106,24,14.405473
4784.194178,24,14.529948
5065.215552,24,14.545471
3313.784558,24,14.560999
3640.777501,24,14.576979
4242.548818,24,14.59249
4503.138923,24,14.716942
4109.509761,24,14.733219
4582.894601,24,14.750899
5118.007076,24,14.774462
4298.301687,24,14.901862
3746.796631,24,14.917422
4035.158088,24,14.933043
3439.404379,24,14.948476
4125.463278,24,15.07669
4096.871345,24,15.092448
3600.003957,24,15.107942
4422.519528,24,15.123488
4624.686537,24,15.256566
4542.424128,24,15.273257
3755.641719,24,15.290061
4175.166438,24,15.305556
4409.644565,24,15.433773
3844.039683,24,15.450414
4460.675903,24,15.467487
5163.936905,24,15.483024
4440.772644,24,15.61832
4347.27069,24,15.63392
4484.004997,24,15.650179
4085.529038,24,15.666193
3874.039076,24,15.681632
4353.516872,24,15.805966
4552.91586,24,15.822399
4932.277973,24,15.838111
3807.200666,24,15.853692
4083.891898,24,15.982532
4338.379438,24,15.998132
3975.992445,24,16.013927
3821.612949,24,16.029459
4239.513052,24,16.156774
4119.167954,24,16.172354
4605.963269,24,16.188382
3615.316641,24,16.203762
4163.813235,24,16.332619
3178.634306,24,16.348181
4108.101051,24,16.363769
4536.209304,24,16.38046
3915.567572,24,16.508155
3302.978044,24,16.524745
3684.706773,24,16.540505
3802.047956,24,16.556027
4062.462538,24,16.686095
3845.304331,24,16.701656
5289.937873,24,16.717051
3855.576525,24,16.732787
4156.602518,24,16.74832
4389.667027,24,16.877947
4347.143522,24,16.893472
3740.289354,24,16.908881
5240.967978,24,16.924324
3221.144223,24,17.059486
4041.419962,24,17.075254
3864.066952,24,17.090935
4586.761933,24,17.106448
4354.359359,24,17.232953
3777.589461,24,17.248695
4149.99785,24,17.26436
4627.737349,24,17.279869
4472.400264,24,17.408284
2951.159411,24,17.427115
4022.997056,24,17.443357
3196.426613,24,17.459018
4586.953327,24,17.593106
3553.912813,24,17.608593
4839.011138,24,17.624093
4320.338522,24,17.639663
4802.564258,24,17.770606
3650.090929,24,17.786133
4055.161477,24,17.801675
3850.403502,24,17.817097
3720.326191,24,17.832565
3799.285758,24,17.965334
3510.615121,24,17.981057
4227.57133,24,17.996859
4089.873275,24,18.012433
4503.229694,24,18.143887
4276.195795,24,18.167081
4322.000521,24,18.184063
4417.212841,24,18.199904
4291.439498,24,18.329225
4195.091411,24,18.345137
4277.102596,24,18.36067
4473.532076,24,18.375991
4110.080287,24,18.509013
3413.060573,24,18.524639
3826.520978,24,18.540043
5047.569669,24,18.555489
3864.05007,24,18.710894
5177.766109,24,18.736531
4660.842305,24,18.756813
4085.752136,24,18.774295
4921.768784,24,18.902406
3668.103571,24,18.91849
4445.270592,24,18.933983
4816.993151,24,18.949538
3889.323046,24,18.96541
3312.681009,24,19.105001
4841.036084,24,19.122991
3880.654746,24,19.142362
3855.71535,24,19.159625
3933.770844,24,19.292367
4026.207673,24,19.308094
3985.205158,24,19.323842
3676.550325,24,19.339292
3969.209157,24,19.472695
4331.250784,24,19.488446
4436.163059,24,19.504103
4045.328258,24,19.520017
3190.532145,24,19.646768
4471.878979,24,19.663375
4769.111866,24,19.678748
5209.657493,24,19.694369
3758.573078,24,19.823973
4392.658677,24,19.839879
3711.812132,24,19.855359
3828.933886,24,19.870873
4284.333185,24,19.999461
4946.603818,24,20.015217
4421.295071,24,20.030702
4883.629633,24,20.046308
4165.064584,24,20.062027
4033.739754,24,20.198465
4210.654713,24,20.215925
4232.477763,24,20.232382
4947.902431,24,20.24836
4224.649269,24,20.376702
3992.100169,24,20.392207
4878.462431,24,20.40808
4065.31937,24,20.423464
4060.248575,24,20.558766
4394.209015,24,20.57477
4417.926124,24,20.591455
3587.186244,24,20.60688
4056.409622,24,20.737073
3971.048968,24,20.752701
4594.083111,24,20.769128
3659.338213,24,20.785351
3632.808608,24,20.911481
4851.403921,24,20.927113
4719.699391,24,20.94266
4503.181203,24,20.95861
4417.689882,24,21.091579
4328.93217,24,21.106977
3713.125612,24,21.122451
3200.347466,24,21.138137
5609.676351,24,21.153649
3584.155845,24,21.283096
4187.838477,24,21.298687
4823.600634,24,21.314079
4865.12873,24,21.329495
4640.559997,24,21.477676
3416.120646,24,21.493439
3836.216116,24,21.509346
4603.676188,24,21.524964
5231.545101,24,21.651533
4562.783608,24,21.667072
4863.769867,24,21.682504
3684.810445,24,21.697917
4491.838051,24,21.828081
3526.529373,24,21.843872
3266.232587,24,21.859363
4673.820292,24,21.875018
4130.392882,24,22.008115
3243.791424,24,22.023799
3810.978267,24,22.039281
3770.351503,24,22.055141
4655.921448,24,22.180609
4398.8678,24,22.195989
4406.501228,24,22.212205
3975.717999,24,22.25723
3952.020783,24,22.273181
3999.560487,24,22.414897
4853.843605,24,22.430354
3863.987506,24,22.44585
4097.247203,24,22.461423
4251.99946,24,22.59181
4328.989909,24,22.607433
3476.893184,24,22.622865
3377.883521,24,22.638353
4677.957696,24,22.765101
3652.667387,24,22.780746
3873.567631,24,22.796163
3975.833356,24,22.811578
4006.491047,24,22.943988
4248.643132,24,22.959503
4121.532385,24,22.975044
3109.223145,24,22.990727
4490.547141,24,23.129861
4515.350225,24,23.146928
4397.597102,24,23.162642
3287.474095,24,23.178095
4888.026532,24,23.303657
3949.073187,24,23.318873
3697.649736,24,23.334804
3722.943257,24,23.35268
4467.936107,24,23.368229
4125.389703,24,23.496495
4708.076257,24,23.512142
3642.097754,24,23.527734
3922.690783,24,23.544497
4132.296275,24,23.679555
3908.411213,24,23.695101
3837.171673,24,23.710473
4324.378529,24,23.72595
4009.761356,24,23.859511
4250.238137,24,23.875877
4298.069796,24,23.892123
3984.025927,24,23.907756
4156.831621,24,24.035757
3997.42996,24,24.051352
4300.403004,24,24.066904
4388.264443,24,24.082377
4223.542486,24,24.210165
3988.406662,24,24.226279
3936.099386,24,24.241838
3869.09801,24,24.259374
2951.226477,24,24.395809
4659.996232,24,24.411456
3919.489276,24,24.426866
4552.549024,24,24.442373
3713.947056,24,24.457828
4379.38633,24,24.593613
4911.945904,24,24.609167
4480.687225,24,24.625199
3830.902117,24,24.640979
3869.727952,24,24.776553
3769.459262,24,24.792165
4030.657082,24,24.807626
4174.636111,24,24.82304
4211.189561,24,24.947387
4722.423207,24,24.962958
4231.946616,24,24.978414
4366.517895,24,24.994006
3870.913161,24,25.120894
4222.806264,24,25.1366
4093.033874,24,25.152087
3386.648414,24,25.167522
3980.086642,24,25.301469
4413.426959,24,25.317097
4604.152234,24,25.332694
5015.810182,24,25.34862
4520.835599,24,25.479396
4557.810626,24,25.494941
3710.672334,24,25.510682
4596.478291,24,25.526148
4406.936464,24,25.541807
3985.553351,24,25.669855
3388.550816,24,25.685271
4073.327454,24,25.700737
3712.294073,24,25.716259
4153.16735,24,25.846808
4731.646836,24,25.862311
4555.828977,24,25.877916
3487.647498,24,25.893458
4875.38515,24,26.022389
4437.915503,24,26.037964
4646.851935,24,26.053364
3488.050721,24,26.069623
4666.01793,24,26.197751
4616.883592,24,26.21383
4382.377614,24,26.229617
4382.55173,24,26.245515
4221.028087,24,26.377961
4702.345833,24,26.393789
4568.384246,24,26.409261
3894.72552,24,26.424794
4439.821961,24,26.55596
4645.010992,24,26.571339
3725.170947,24,26.587313
4008.625215,24,26.602821
4453.943333,24,26.618165
4466.131403,24,26.750226
4114.69127,24,26.766096
4776.944991,24,26.781814
4856.855405,24,26.797245
4339.963478,24,26.929155
4697.542719,24,26.944582
4216.088163,24,26.960033
4047.18823,24,26.975714
4579.219535,24,27.102786
3828.279283,24,27.118249
5121.046681,24,27.133776
4256.925259,24,27.149265
3747.742383,24,27.279337
4126.856794,24,27.294935
4302.265944,24,27.310432
4316.247812,24,27.325881
3893.125355,24,27.45745
3584.740443,24,27.473062
4026.830269,24,27.488583
3305.067528,24,27.504057
4403.776333,24,27.633515
3793.913785,24,27.648935
4680.217805,24,27.664547
3825.400463,24,27.680521
3887.394559,24,27.696089
4451.296656,24,27.830976
