#{"t_start": 1624253452.250064, "env_id": "ElectricityMarket-v0"}
r,l,t
-532.200959,24,0.549736
-568.487614,24,0.560101
-447.679122,24,0.591392
-459.749218,24,0.601341
-529.206838,24,0.610716
-978.204507,24,0.619825
-500.640186,24,0.628746
-314.664647,24,0.637979
-101.996062,24,0.842704
18.184503,24,0.850042
112.873364,24,0.857588
-260.862972,24,0.864979
-45.01677,24,0.957547
43.159641,24,0.964894
90.656141,24,0.972214
33.133551,24,0.979488
455.480102,24,1.103789
364.602401,24,1.111689
256.218742,24,1.119108
216.016172,24,1.126416
437.875987,24,1.218488
398.190235,24,1.227414
298.674306,24,1.242159
299.066582,24,1.252206
614.541597,24,1.263021
289.873435,24,1.359658
221.991494,24,1.367065
523.647489,24,1.374372
637.424227,24,1.38166
565.739717,24,1.473913
408.938437,24,1.481245
405.398223,24,1.488547
336.315983,24,1.495842
272.368317,24,1.58773
603.465839,24,1.595049
260.603509,24,1.602336
371.735995,24,1.609621
291.502547,24,1.700974
680.366399,24,1.708377
347.795793,24,1.715754
574.565865,24,1.723042
287.484264,24,1.81425
530.916387,24,1.821905
635.609189,24,1.829307
538.827994,24,1.836754
623.24739,24,1.929157
546.684365,24,1.936481
413.240333,24,1.943759
340.772715,24,1.951082
392.483631,24,1.958426
504.455784,24,2.053165
599.750336,24,2.06061
377.655485,24,2.068356
196.138603,24,2.076168
454.937219,24,2.185565
390.928769,24,2.192998
376.31397,24,2.200409
541.629932,24,2.207852
665.372452,24,2.301014
349.43177,24,2.30846
284.177945,24,2.315867
652.911685,24,2.323454
444.268423,24,2.415703
401.801294,24,2.42303
261.299172,24,2.430348
453.482016,24,2.437646
288.692031,24,2.531208
474.223806,24,2.538592
433.769223,24,2.545931
361.251052,24,2.553264
428.840643,24,2.646535
412.621882,24,2.654107
507.331171,24,2.661549
386.2573,24,2.668969
225.181842,24,2.676404
494.623117,24,2.77065
461.868914,24,2.778019
512.725957,24,2.785341
476.263931,24,2.793191
513.082096,24,2.893751
569.480379,24,2.901336
261.96444,24,2.909129
228.010111,24,2.916578
124.412997,24,3.010608
262.943513,24,3.018043
388.288978,24,3.025441
251.375097,24,3.033131
554.694725,24,3.1293
463.423315,24,3.136682
389.369108,24,3.144032
578.973075,24,3.151341
634.1171,24,3.245936
254.468126,24,3.253634
314.097967,24,3.260993
392.159335,24,3.268461
145.531648,24,3.363135
224.746779,24,3.370606
258.136195,24,3.377999
300.294066,24,3.385383
409.896178,24,3.392771
492.001661,24,3.487979
469.694252,24,3.495325
453.5034,24,3.50268
535.94354,24,3.509957
174.334299,24,3.604375
540.688924,24,3.611801
341.498704,24,3.61919
302.897904,24,3.626576
313.681376,24,3.744173
561.354491,24,3.751978
402.108847,24,3.761511
436.107279,24,3.771092
584.476563,24,3.883257
499.867344,24,3.891825
438.114585,24,3.899933
487.125286,24,3.908177
359.785088,24,4.02142
498.748924,24,4.029333
543.472865,24,4.038878
75.812095,24,4.047394
485.552823,24,4.158573
312.762974,24,4.166343
375.372839,24,4.175826
524.634886,24,4.187021
603.834679,24,4.195964
425.611484,24,4.304125
537.959737,24,4.312916
555.421579,24,4.320557
549.150601,24,4.328085
535.983399,24,4.435891
365.868835,24,4.443648
388.46683,24,4.452981
393.902707,24,4.46109
237.072297,24,4.57262
371.690686,24,4.580677
341.519741,24,4.592354
304.28163,24,4.600295
411.409635,24,4.713216
398.161277,24,4.721324
606.349356,24,4.730701
422.267889,24,4.738707
229.878193,24,4.847502
409.623066,24,4.855758
496.55437,24,4.866136
394.626783,24,4.874598
431.622548,24,4.982848
498.618289,24,4.990482
549.334823,24,4.997811
463.761456,24,5.007099
507.263393,24,5.016033
432.422082,24,5.132489
175.400194,24,5.140598
532.66922,24,5.150573
497.330197,24,5.158631
434.404879,24,5.271356
206.830546,24,5.27945
305.111551,24,5.288386
416.02072,24,5.296789
396.996612,24,5.407189
452.930835,24,5.414757
471.110556,24,5.4221
379.476028,24,5.432013
236.441785,24,5.543438
385.409994,24,5.55155
393.052467,24,5.559577
236.960305,24,5.568266
499.599422,24,5.685515
504.101393,24,5.692942
415.597385,24,5.701796
575.700352,24,5.709805
314.897654,24,5.822435
578.840199,24,5.830054
317.730545,24,5.840404
132.148284,24,5.848313
304.05495,24,5.856329
466.052831,24,5.964053
544.02109,24,5.972725
439.459202,24,5.981545
371.059524,24,5.989549
430.563662,24,6.099968
447.090084,24,6.107878
233.700907,24,6.115205
390.058153,24,6.122538
566.558393,24,6.230811
514.234508,24,6.23892
521.942751,24,6.246442
586.967308,24,6.255685
398.151967,24,6.354977
531.734886,24,6.362343
120.556256,24,6.369669
433.342605,24,6.377055
536.581416,24,6.474136
638.418943,24,6.48184
331.229577,24,6.48931
519.13128,24,6.496631
117.133685,24,6.595044
321.254836,24,6.602973
467.848788,24,6.610311
689.695854,24,6.617707
406.344285,24,6.625033
502.431661,24,6.723921
387.982068,24,6.731335
529.239235,24,6.738924
362.4594,24,6.746686
391.911486,24,6.84623
535.670704,24,6.85415
384.752677,24,6.861615
702.83607,24,6.869165
305.859805,24,6.968766
389.065691,24,6.976396
474.322611,24,6.983733
410.305713,24,6.991054
439.864177,24,7.09038
499.82851,24,7.097893
360.062516,24,7.105712
311.516819,24,7.113117
518.470597,24,7.2118
654.493628,24,7.21925
425.718782,24,7.226653
307.180709,24,7.234138
304.386332,24,7.332409
361.290404,24,7.340216
161.553497,24,7.347558
458.121901,24,7.354894
476.720703,24,7.362579
554.169178,24,7.460872
581.105445,24,7.468368
459.237489,24,7.475674
387.962275,24,7.482968
478.021746,24,7.581396
513.874733,24,7.588834
690.132362,24,7.59613
385.474088,24,7.60342
546.164904,24,7.702665
543.250969,24,7.710473
565.45931,24,7.71778
353.683213,24,7.725075
618.105661,24,7.835725
166.548235,24,7.843209
550.119903,24,7.850514
357.666848,24,7.857896
448.751513,24,7.961835
359.990122,24,7.969418
-75.169457,24,7.977243
587.64968,24,7.984651
420.134523,24,8.083322
205.695511,24,8.090795
459.280577,24,8.09812
645.759758,24,8.105652
541.474474,24,8.113252
512.655351,24,8.211325
276.360558,24,8.218745
453.197409,24,8.226103
177.09682,24,8.233612
216.804795,24,8.331813
415.990783,24,8.339535
570.469056,24,8.346907
448.724301,24,8.354241
643.173094,24,8.453998
241.426242,24,8.461508
95.087804,24,8.468827
339.130368,24,8.476599
209.671809,24,8.575637
532.471824,24,8.583266
472.064224,24,8.591512
253.691179,24,8.598845
336.475601,24,8.697248
427.210191,24,8.707264
601.019311,24,8.716451
598.961267,24,8.725017
295.774838,24,8.829899
294.13449,24,8.837675
637.320563,24,8.844998
600.743335,24,8.852384
327.479057,24,8.860032
236.713254,24,8.968011
442.429917,24,8.976077
441.448236,24,8.983681
609.115151,24,8.99145
523.324107,24,9.093618
688.323531,24,9.101093
588.170036,24,9.108553
452.25183,24,9.115977
428.637174,24,9.21327
396.281417,24,9.220619
234.601918,24,9.22793
602.440926,24,9.235952
204.123246,24,9.334819
284.045563,24,9.342378
506.408566,24,9.349704
437.342397,24,9.357017
453.44611,24,9.453508
264.432359,24,9.461091
395.854731,24,9.468418
281.412344,24,9.475741
221.195277,24,9.571979
496.591644,24,9.579347
535.866997,24,9.586981
268.602662,24,9.594444
430.566659,24,9.601762
177.86211,24,9.699
473.277187,24,9.706685
207.14326,24,9.714071
357.690193,24,9.721391
348.710089,24,9.819149
261.115521,24,9.826575
525.50084,24,9.834287
503.338276,24,9.84186
338.430445,24,9.940742
592.714249,24,9.948159
373.980643,24,9.955673
600.326444,24,9.963038
587.372287,24,10.061454
420.205107,24,10.068848
468.743605,24,10.07637
456.178063,24,10.084092
256.890825,24,10.18186
441.620185,24,10.189308
555.944664,24,10.19671
638.965807,24,10.204143
336.324968,24,10.301289
439.833701,24,10.308664
645.588991,24,10.315999
461.343476,24,10.323299
642.92588,24,10.330791
-66.834387,24,10.429864
552.720215,24,10.437393
645.389083,24,10.445126
412.479068,24,10.452814
381.234003,24,10.555918
442.354799,24,10.563289
363.631316,24,10.570693
354.801884,24,10.578119
248.295121,24,10.681166
480.561978,24,10.688599
452.468074,24,10.695973
480.764973,24,10.705332
225.815604,24,10.812586
281.199527,24,10.820659
613.60825,24,10.828343
672.553745,24,10.836785
449.186075,24,10.939363
495.943501,24,10.946716
473.35682,24,10.954037
417.472834,24,10.961467
268.140704,24,11.060765
442.53254,24,11.068167
703.807967,24,11.075563
438.664587,24,11.083162
410.290107,24,11.090694
602.385284,24,11.188854
264.49301,24,11.196211
434.367444,24,11.203536
181.566475,24,11.211094
487.663952,24,11.30867
322.520097,24,11.316024
380.326085,24,11.323338
440.973221,24,11.330776
360.821437,24,11.439878
367.695458,24,11.447336
624.749744,24,11.455037
353.79998,24,11.46252
464.465769,24,11.55974
184.803449,24,11.567083
566.366503,24,11.574391
399.12988,24,11.581855
571.193265,24,11.682052
292.422762,24,11.689514
400.142369,24,11.696867
390.51494,24,11.704311
416.271819,24,11.801683
326.175121,24,11.809037
392.201398,24,11.816382
416.898271,24,11.823716
110.632285,24,11.83119
181.72701,24,11.930527
266.817547,24,11.937945
537.896195,24,11.945343
663.48732,24,11.952732
332.1962,24,12.053529
382.210024,24,12.061416
720.764453,24,12.069207
312.126416,24,12.076541
372.401439,24,12.203222
444.491541,24,12.212496
220.731891,24,12.222097
552.008727,24,12.232363
384.37737,24,12.353805
261.50974,24,12.361582
521.851162,24,12.378116
462.357225,24,12.38699
521.096059,24,12.490374
245.31194,24,12.497709
524.981934,24,12.505458
498.841933,24,12.51281
428.678212,24,12.611458
647.270844,24,12.61876
232.361089,24,12.626036
315.708314,24,12.633316
398.029448,24,12.640596
457.810955,24,12.738992
386.125113,24,12.746336
504.582996,24,12.753656
206.506082,24,12.761187
276.046501,24,12.860985
581.456573,24,12.868329
327.184689,24,12.875631
370.259236,24,12.882917
507.516117,24,12.984979
528.819161,24,12.992311
533.670982,24,12.999607
441.219925,24,13.006906
624.670037,24,13.108087
335.140028,24,13.115534
327.383958,24,13.122876
235.432599,24,13.13019
503.583648,24,13.267241
247.379868,24,13.276208
273.458732,24,13.286477
360.698054,24,13.296329
302.178355,24,13.402558
226.875633,24,13.409927
208.166796,24,13.417309
493.256557,24,13.424616
427.904031,24,13.431918
406.796555,24,13.530163
472.46426,24,13.537475
512.168576,24,13.544756
284.046972,24,13.552021
632.190246,24,13.650781
558.309147,24,13.658377
394.704925,24,13.665782
446.598789,24,13.673048
455.957681,24,13.772139
366.338544,24,13.779675
601.211709,24,13.787006
364.117557,24,13.79429
393.420849,24,13.892721
597.663457,24,13.90003
405.264376,24,13.907359
531.258759,24,13.914683
467.34273,24,14.013276
623.670914,24,14.020622
326.640987,24,14.028103
263.512535,24,14.035914
445.297482,24,14.136255
537.847966,24,14.143565
573.77413,24,14.150842
488.330538,24,14.158124
360.769432,24,14.165391
528.756726,24,14.265235
449.771159,24,14.272848
275.877342,24,14.280551
481.37428,24,14.287843
259.710737,24,14.386901
19.678516,24,14.394213
542.516237,24,14.401537
200.94225,24,14.408837
217.665621,24,14.507715
398.68849,24,14.515018
289.496079,24,14.5223
380.789009,24,14.529612
374.84006,24,14.62806
359.309468,24,14.635355
482.688299,24,14.642617
385.121762,24,14.649856
181.003956,24,14.749398
253.556247,24,14.756751
245.240743,24,14.764226
472.870937,24,14.771565
293.830894,24,14.871799
410.031475,24,14.87913
549.720959,24,14.886513
391.666808,24,14.893828
410.70712,24,14.901097
283.673738,24,14.999476
493.168508,24,15.006798
581.555548,24,15.014086
392.716906,24,15.021366
325.0095,24,15.12019
264.066679,24,15.127726
488.103467,24,15.135
167.754568,24,15.142251
327.387916,24,15.24122
687.142346,24,15.24852
531.650631,24,15.255842
320.458247,24,15.263106
327.395852,24,15.36531
317.623905,24,15.373187
508.939532,24,15.381082
310.088652,24,15.38882
623.72605,24,15.500084
329.960037,24,15.508167
429.249105,24,15.51631
486.261223,24,15.524534
635.313103,24,15.632397
309.306769,24,15.640197
438.429297,24,15.647714
627.342518,24,15.65514
409.234254,24,15.662563
343.563921,24,15.760315
534.015713,24,15.767719
539.815379,24,15.775039
539.366678,24,15.784515
476.877239,24,15.891689
456.20434,24,15.899596
222.041679,24,15.906915
243.69091,24,15.914201
310.458936,24,16.011724
453.364497,24,16.019019
514.625859,24,16.026296
429.213087,24,16.033909
448.363104,24,16.132632
418.945812,24,16.140617
408.564109,24,16.147933
150.277615,24,16.155227
476.667099,24,16.256412
398.100799,24,16.263724
429.135307,24,16.271002
316.701573,24,16.278413
530.02711,24,16.378129
577.695202,24,16.385478
328.234758,24,16.392807
485.314734,24,16.400124
391.107328,24,16.407463
507.67929,24,16.50757
331.18741,24,16.515171
483.270057,24,16.522498
389.269933,24,16.529805
569.344913,24,16.628228
353.720636,24,16.635558
236.268792,24,16.642876
466.9026,24,16.650189
336.291205,24,16.748242
503.24641,24,16.755586
479.697731,24,16.762905
299.802555,24,16.77025
240.404288,24,16.868945
344.039317,24,16.876292
428.866284,24,16.883624
408.114361,24,16.890942
680.774795,24,16.989557
219.294961,24,16.996835
309.363121,24,17.004096
516.21588,24,17.011357
455.496261,24,17.109424
451.851263,24,17.117078
456.509428,24,17.124557
473.299656,24,17.131851
106.70105,24,17.13962
467.655458,24,17.239694
451.49361,24,17.247071
411.502052,24,17.254341
503.485725,24,17.261564
605.436359,24,17.360431
537.531098,24,17.367658
512.786174,24,17.374874
506.366914,24,17.382086
502.244725,24,17.479349
318.650848,24,17.486579
343.170135,24,17.493795
598.669613,24,17.500993
159.707464,24,17.59868
656.865692,24,17.6061
171.642719,24,17.613319
648.37173,24,17.620566
531.476703,24,17.719146
541.73678,24,17.726474
545.276657,24,17.733806
314.385107,24,17.741096
557.568245,24,17.850682
341.133868,24,17.858601
244.501757,24,17.865866
424.619574,24,17.873102
433.6875,24,17.880318
156.557367,24,17.98324
357.304844,24,17.990535
659.962558,24,17.997844
592.913752,24,18.005207
248.146585,24,18.107717
388.800146,24,18.115249
376.392645,24,18.122647
332.482095,24,18.129873
435.557987,24,18.227254
371.021876,24,18.234586
233.106857,24,18.241883
464.711465,24,18.249159
369.671383,24,18.348434
369.853133,24,18.355958
288.865988,24,18.363289
494.516045,24,18.370619
355.532018,24,18.469116
286.084801,24,18.47636
534.668787,24,18.483647
444.060783,24,18.490973
377.752196,24,18.589155
537.998822,24,18.59641
397.173998,24,18.603636
591.445906,24,18.611172
354.539002,24,18.61846
-7.532415,24,18.716592
370.168601,24,18.723851
494.924493,24,18.731095
412.138951,24,18.738323
579.419593,24,18.850027
335.94908,24,18.858031
601.262608,24,18.865913
417.326328,24,18.873691
340.545603,24,18.97316
559.848345,24,18.980505
284.348302,24,18.98778
352.268011,24,18.995044
538.297999,24,19.092373
559.284048,24,19.099696
571.875619,24,19.10751
690.241924,24,19.115543
583.297308,24,19.212711
412.980621,24,19.220032
-31.275025,24,19.227299
579.383884,24,19.234521
498.301307,24,19.331517
180.134237,24,19.338877
600.969094,24,19.346174
482.359124,24,19.353411
451.45237,24,19.360812
368.239599,24,19.456956
402.770816,24,19.464229
352.648223,24,19.471498
554.342295,24,19.478704
195.552037,24,19.574695
